date,value,unit,lat,lon,city,parameter
2024-11-14 02:00:00,52.7,μg/m³,45.4642,9.19,,pm25
2024-11-14 03:00:00,52.8,μg/m³,45.4642,9.19,,pm25
2024-11-14 04:00:00,53.9,μg/m³,45.4642,9.19,,pm25
2024-11-14 05:00:00,52.6,μg/m³,45.4642,9.19,,pm25
2024-11-14 06:00:00,51.3,μg/m³,45.4642,9.19,,pm25
2024-11-14 07:00:00,50.9,μg/m³,45.4642,9.19,,pm25
2024-11-14 08:00:00,52.0,μg/m³,45.4642,9.19,,pm25
2024-11-14 09:00:00,49.8,μg/m³,45.4642,9.19,,pm25
2024-11-14 10:00:00,54.9,μg/m³,45.4642,9.19,,pm25
2024-11-14 11:00:00,40.6,μg/m³,45.4642,9.19,,pm25
2024-11-14 12:00:00,30.3,μg/m³,45.4642,9.19,,pm25
2024-11-14 13:00:00,26.4,μg/m³,45.4642,9.19,,pm25
2024-11-14 14:00:00,23.0,μg/m³,45.4642,9.19,,pm25
2024-11-14 15:00:00,21.6,μg/m³,45.4642,9.19,,pm25
2024-11-14 16:00:00,22.9,μg/m³,45.4642,9.19,,pm25
2024-11-14 17:00:00,24.2,μg/m³,45.4642,9.19,,pm25
2024-11-14 18:00:00,30.0,μg/m³,45.4642,9.19,,pm25
2024-11-14 19:00:00,35.1,μg/m³,45.4642,9.19,,pm25
2024-11-14 20:00:00,42.1,μg/m³,45.4642,9.19,,pm25
2024-11-14 21:00:00,44.7,μg/m³,45.4642,9.19,,pm25
2024-11-14 22:00:00,50.1,μg/m³,45.4642,9.19,,pm25
2024-11-14 23:00:00,54.8,μg/m³,45.4642,9.19,,pm25
2024-11-15 00:00:00,65.9,μg/m³,45.4642,9.19,,pm25
2024-11-15 01:00:00,69.8,μg/m³,45.4642,9.19,,pm25
2024-11-15 02:00:00,65.0,μg/m³,45.4642,9.19,,pm25
2024-11-15 03:00:00,61.8,μg/m³,45.4642,9.19,,pm25
2024-11-15 04:00:00,65.0,μg/m³,45.4642,9.19,,pm25
2024-11-15 05:00:00,68.2,μg/m³,45.4642,9.19,,pm25
2024-11-15 06:00:00,70.9,μg/m³,45.4642,9.19,,pm25
2024-11-15 07:00:00,70.8,μg/m³,45.4642,9.19,,pm25
2024-11-15 08:00:00,72.0,μg/m³,45.4642,9.19,,pm25
